iter	Passed	Remaining
195	279	1147
196	280	1142
197	280	1137
198	281	1133
199	282	1128
200	282	1123
201	283	1119
202	283	1114
203	284	1109
204	284	1104
205	285	1100
206	285	1095
207	286	1090
208	287	1086
209	288	1083
210	288	1079
211	289	1075
212	289	1071
213	290	1067
214	291	1062
215	291	1058
216	292	1054
217	292	1049
218	293	1045
219	293	1041
220	294	1037
221	294	1032
222	295	1028
223	295	1024
224	296	1020
225	296	1016
226	297	1013
227	298	1009
228	298	1005
229	299	1001
230	299	998
231	300	994
232	300	990
233	301	986
234	302	984
235	303	981
236	303	977
237	304	974
238	304	970
239	305	966
240	305	963
241	306	959
242	306	956
243	307	952
244	308	949
245	308	945
246	309	942
247	309	938
248	310	935
249	310	932
250	311	928
251	311	925
252	312	922
253	312	919
254	313	915
255	314	912
256	314	909
257	315	906
258	315	903
259	316	900
260	317	897
261	317	894
262	318	891
263	318	888
264	319	885
265	319	882
266	320	879
267	320	876
268	321	873
269	321	870
270	322	868
271	323	865
272	323	862
273	324	859
274	324	856
275	325	853
276	326	851
277	326	848
278	327	845
279	327	842
280	328	839
281	328	837
282	329	834
283	329	831
284	330	828
285	330	826
286	331	823
287	331	820
288	332	818
289	333	815
290	333	813
291	334	810
292	335	808
293	335	805
294	336	803
295	336	800
296	337	798
297	337	795
298	338	793
299	338	790
300	339	788
301	340	785
302	340	783
303	341	781
304	341	778
305	342	776
306	342	773
307	343	771
308	344	769
309	344	767
310	345	764
311	345	762
312	346	759
313	346	757
314	347	755
315	347	753
316	348	751
317	349	748
318	349	746
319	350	744
320	350	741
321	351	739
322	352	737
323	352	735
324	353	733
325	353	731
326	354	728
327	354	726
328	355	724
329	355	722
330	356	720
331	356	718
332	357	716
333	358	714
334	358	711
335	359	709
336	359	707
337	360	705
338	361	703
339	361	701
340	362	699
341	362	697
342	363	695
343	363	693
344	364	691
345	364	689
346	365	687
347	365	685
348	366	683
349	366	681
350	367	679
351	368	677
352	368	675
353	369	673
354	369	671
355	370	670
356	370	668
357	371	666
358	372	664
359	372	662
360	373	660
361	373	658
362	374	656
363	374	655
364	375	653
365	376	651
366	376	649
367	377	647
368	377	645
369	378	644
370	378	642
371	379	640
372	379	638
373	380	636
374	380	634
375	381	633
376	382	631
377	382	629
378	383	628
379	383	626
380	384	624
381	385	623
382	385	621
383	386	620
384	387	618
385	387	617
386	388	615
387	388	613
388	389	611
389	389	609
390	390	608
391	391	606
392	391	604
393	392	603
394	392	601
395	393	599
396	393	598
397	394	596
398	394	594
399	395	593
400	396	591
401	396	589
402	397	588
403	397	586
404	398	585
405	398	583
406	399	582
407	400	580
408	400	578
409	401	577
410	401	575
411	402	574
412	403	572
413	403	571
414	404	569
415	404	568
416	405	566
417	405	564
418	406	563
419	407	562
420	407	560
421	408	559
422	408	557
423	409	555
424	409	554
425	410	553
426	411	551
427	411	550
428	412	548
429	412	547
430	413	545
431	413	544
432	414	542
433	414	541
434	415	539
435	416	538
436	416	536
437	417	535
438	417	533
439	418	532
440	418	530
441	419	529
442	420	528
443	420	526
444	421	525
445	421	523
446	422	522
447	422	521
448	423	519
449	424	518
450	424	517
451	425	515
452	425	514
453	426	512
454	427	511
455	427	510
456	428	508
457	428	507
458	429	505
459	429	504
460	430	503
461	430	501
462	431	500
463	431	498
464	432	497
465	433	496
466	433	494
467	434	493
468	434	492
469	435	490
470	435	489
471	436	488
472	436	486
473	437	485
474	437	483
475	438	482
476	439	481
477	439	480
478	440	478
479	440	477
480	441	476
481	442	475
482	442	473
483	443	472
484	443	471
485	444	469
486	444	468
487	445	467
488	446	466
489	446	465
490	447	463
491	447	462
492	448	461
493	449	459
494	449	458
495	450	457
496	450	456
497	451	454
498	451	453
499	452	452
500	452	451
501	453	449
502	454	448
503	454	447
504	455	446
505	455	445
506	456	443
507	456	442
508	457	441
509	458	440
510	458	438
511	459	437
512	459	436
513	460	435
514	461	434
515	461	433
516	462	431
517	462	430
518	463	429
519	464	428
520	464	427
521	465	425
522	465	424
523	466	423
524	466	422
525	467	421
526	467	419
527	468	418
528	469	417
529	469	416
530	470	415
531	470	414
532	471	412
533	471	411
534	472	410
535	472	409
536	473	408
537	474	407
538	474	405
539	475	404
540	475	403
541	476	402
542	476	401
543	477	400
544	478	399
545	478	397
546	479	396
547	479	395
548	480	394
549	480	393
550	481	392
551	482	391
552	482	390
553	483	389
554	483	387
555	484	386
556	484	385
557	485	384
558	485	383
559	486	382
560	486	381
561	487	379
562	488	378
563	488	377
564	489	376
565	489	375
566	490	374
567	490	373
568	491	372
569	492	371
570	492	370
571	493	369
572	494	368
573	494	367
574	495	366
575	495	364
576	496	363
577	496	362
578	497	361
579	497	360
580	498	359
581	499	358
582	499	357
583	500	356
584	500	355
585	501	354
586	502	353
587	502	352
588	503	351
589	503	350
590	504	349
591	504	348
592	505	346
593	506	345
594	506	344
595	507	343
596	507	342
597	508	341
598	508	340
599	509	339
600	509	338
601	510	337
602	511	336
603	511	335
604	512	334
605	512	333
606	513	332
607	514	331
608	514	330
609	515	329
610	515	328
611	516	327
612	516	326
613	517	325
614	518	324
615	518	323
616	519	322
617	519	321
618	520	320
619	520	319
620	521	318
621	522	317
622	522	316
623	523	315
624	523	314
625	524	313
626	524	312
627	525	311
628	525	310
629	526	309
630	527	308
631	527	307
632	528	306
633	529	305
634	529	304
635	530	303
636	531	302
637	531	301
638	532	300
639	532	299
640	533	298
641	534	298
642	535	297
643	536	296
644	536	295
645	537	294
646	538	293
647	538	292
648	539	291
649	540	290
650	540	289
651	541	288
652	541	287
653	542	287
654	543	286
655	543	285
656	544	284
657	545	283
658	545	282
659	546	281
660	547	280
661	547	279
662	548	278
663	549	277
664	549	277
665	550	276
666	551	275
667	551	274
668	552	273
669	553	272
670	554	271
671	554	270
672	555	269
673	556	268
674	556	268
675	557	267
676	558	266
677	558	265
678	559	264
679	560	263
680	560	262
681	561	261
682	561	260
683	562	259
684	563	259
685	564	258
686	564	257
687	565	256
688	565	255
689	566	254
690	567	253
691	568	252
692	568	251
693	569	251
694	570	250
695	570	249
696	571	248
697	572	247
698	572	246
699	573	245
700	574	244
701	574	243
702	575	243
703	576	242
704	576	241
705	577	240
706	577	239
707	578	238
708	579	237
709	579	236
710	580	235
711	580	234
712	581	234
713	582	233
714	582	232
715	583	231
716	584	230
717	584	229
718	585	228
719	586	227
720	586	227
721	587	226
722	588	225
723	588	224
724	589	223
725	590	222
726	590	221
727	591	220
728	592	220
729	592	219
730	593	218
731	593	217
732	594	216
733	595	215
734	595	214
735	596	213
736	597	213
737	597	212
738	598	211
739	599	210
740	599	209
741	600	208
742	601	207
743	601	207
744	602	206
745	603	205
746	603	204
747	604	203
748	605	202
749	605	201
750	606	201
751	606	200
752	607	199
753	608	198
754	609	197
755	609	196
756	610	195
757	611	195
758	611	194
759	612	193
760	613	192
761	613	191
762	614	190
763	615	189
764	615	189
765	616	188
766	616	187
767	617	186
768	618	185
769	619	184
770	619	184
771	620	183
772	620	182
773	621	181
774	622	180
775	622	179
776	623	178
777	624	178
778	624	177
779	625	176
780	626	175
781	626	174
782	627	173
783	628	173
784	628	172
785	629	171
786	630	170
787	630	169
788	631	168
789	632	168
790	632	167
791	633	166
792	633	165
793	634	164
794	635	163
795	635	162
796	636	162
797	636	161
798	637	160
799	638	159
800	638	158
801	639	157
802	640	157
803	640	156
804	641	155
805	642	154
806	642	153
807	643	152
808	644	152
809	644	151
810	645	150
811	645	149
812	646	148
813	647	147
814	648	147
815	648	146
816	649	145
817	649	144
818	650	143
819	651	142
820	651	142
821	652	141
822	652	140
823	653	139
824	653	138
825	654	137
826	654	137
827	655	136
828	656	135
829	656	134
830	657	133
831	657	132
832	658	131
833	658	131
834	659	130
835	660	129
836	660	128
837	661	127
838	661	127
839	662	126
840	663	125
841	663	124
842	664	123
843	664	122
844	665	122
845	665	121
846	666	120
847	667	119
848	667	118
849	668	117
850	668	117
851	669	116
852	669	115
853	670	114
854	670	113
855	671	112
856	671	112
857	672	111
858	672	110
859	673	109
860	674	108
861	674	108
862	675	107
863	675	106
864	676	105
865	676	104
866	677	103
867	677	103
868	678	102
869	679	101
870	679	100
871	680	99
872	681	99
873	681	98
874	682	97
875	682	96
876	683	95
877	683	95
878	684	94
879	684	93
880	685	92
881	686	91
882	686	90
883	687	90
884	688	89
885	688	88
886	689	87
887	690	87
888	690	86
889	691	85
890	691	84
891	692	83
892	692	83
893	693	82
894	694	81
895	694	80
896	695	79
897	695	79
898	696	78
899	696	77
900	697	76
901	698	75
902	698	75
903	699	74
904	699	73
905	700	72
906	700	71
907	701	71
908	702	70
909	702	69
910	703	68
911	703	67
912	704	67
913	704	66
914	705	65
915	705	64
916	706	63
917	706	63
918	707	62
919	708	61
920	708	60
921	709	59
922	709	59
923	710	58
924	710	57
925	711	56
926	712	56
927	712	55
928	713	54
929	713	53
930	714	52
931	714	52
932	715	51
933	715	50
934	716	49
935	716	49
936	717	48
937	717	47
938	718	46
939	718	45
940	719	45
941	720	44
942	720	43
943	721	42
944	721	42
945	722	41
946	722	40
947	723	39
948	723	38
949	724	38
950	725	37
951	725	36
952	726	35
953	726	35
954	727	34
955	727	33
956	728	32
957	728	31
958	729	31
959	730	30
960	730	29
961	731	28
962	732	28
963	732	27
964	733	26
965	733	25
966	734	25
967	734	24
968	735	23
969	735	22
970	736	21
971	737	21
972	737	20
973	738	19
974	738	18
975	739	18
976	739	17
977	740	16
978	741	15
979	741	15
980	742	14
981	743	13
982	743	12
983	744	12
984	745	11
985	745	10
986	746	9
987	746	9
988	747	8
989	748	7
990	748	6
991	749	6
992	749	5
993	750	4
994	750	3
995	751	3
996	751	2
997	752	1
998	752	0
999	753	0
